iter	RMSE
218	15868.05235
219	15834.61363
220	15784.84197
221	15759.96071
222	15712.71992
223	15693.02872
224	15657.18165
225	15624.68899
226	15570.27305
227	15538.39254
228	15533.10734
229	15494.52089
230	15489.39968
231	15483.07945
232	15433.20704
233	15402.77785
234	15367.38862
235	15332.544
236	15326.63002
237	15291.41638
238	15285.91969
239	15245.65526
240	15209.76136
241	15178.50301
242	15149.73683
243	15113.29161
244	15078.02893
245	15047.10961
246	15041.69818
247	15012.48937
248	14979.10968
249	14948.46826
250	14922.57046
251	14897.92497
252	14876.45236
253	14840.35484
254	14808.79569
255	14770.29809
256	14741.31317
257	14712.28533
258	14708.00718
259	14660.98741
260	14635.16355
261	14597.47631
262	14583.06809
263	14549.67482
264	14517.70569
265	14485.76478
266	14481.5669
267	14453.9599
268	14426.80921
269	14405.03554
270	14375.08661
271	14337.6472
272	14299.75682
273	14262.3891
274	14228.12407
275	14190.21048
276	14161.62094
277	14126.41238
278	14103.12323
279	14078.2337
280	14041.8764
281	14002.19469
282	13979.4447
283	13960.2215
284	13938.18866
285	13914.81962
286	13893.10068
287	13864.90927
288	13830.745
289	13789.72001
290	13758.13318
291	13733.63824
292	13706.05741
293	13679.13186
294	13660.5188
295	13632.09842
296	13605.95253
297	13580.858
298	13546.95879
299	13515.73336
300	13494.07602
301	13472.43314
302	13436.55938
303	13405.46791
304	13385.17684
305	13355.29881
306	13332.51031
307	13298.4578
308	13283.52003
309	13259.31446
310	13235.75198
311	13201.56888
312	13169.39517
313	13147.98253
314	13114.02702
315	13081.8424
316	13057.99736
317	13028.05893
318	13008.32752
319	12981.71786
320	12957.82159
321	12938.58655
322	12914.93492
323	12886.41614
324	12852.84972
325	12827.09073
326	12795.69277
327	12777.11998
328	12752.11134
329	12726.36311
330	12698.72575
331	12675.508
332	12651.69601
333	12630.81238
334	12610.20711
335	12587.63412
336	12566.19913
337	12548.53291
338	12525.85386
339	12497.35584
340	12474.27957
341	12444.20166
342	12433.39878
343	12411.08444
344	12389.11872
345	12359.93999
346	12349.51176
347	12326.33703
348	12305.11221
349	12281.29358
350	12261.31204
351	12236.20063
352	12215.93529
353	12192.02947
354	12167.03458
355	12143.31475
356	12117.73466
357	12092.412
358	12075.506
359	12049.27431
360	12019.76327
361	11997.59446
362	11989.55816
363	11966.68172
364	11947.70627
365	11928.10942
366	11916.43685
367	11891.3015
368	11863.46028
369	11841.22576
370	11825.12007
371	11807.95143
372	11778.16877
373	11770.46061
374	11762.79052
375	11739.50705
376	11713.36683
377	11697.33973
378	11689.33186
379	11673.76579
380	11650.68602
381	11627.825
382	11598.38926
383	11579.02266
384	11571.53433
385	11557.85324
386	11541.35093
387	11516.84569
388	11494.54637
389	11480.93371
390	11452.45962
391	11435.87328
392	11409.04636
393	11386.06073
394	11372.53007
395	11348.34069
396	11328.55996
397	11301.63167
398	11281.62515
399	11268.23744
400	11246.2871
401	11230.51996
402	11207.44336
403	11194.61202
404	11184.14143
405	11165.53003
406	11150.20618
407	11144.26422
408	11116.99984
409	11101.50027
410	11094.65138
411	11067.45175
412	11046.00501
413	11039.72981
414	11016.84086
415	11002.8342
416	10983.59102
417	10959.60472
418	10938.02739
419	10922.47339
420	10905.49913
421	10889.6193
422	10874.79477
423	10850.15737
424	10828.80991
425	10814.50604
426	10791.66978
427	10775.49858
428	10763.65162
429	10754.59808
430	10736.30578
431	10711.894
432	10701.42658
433	10691.71703
434	10689.33538
435	10668.86152
436	10663.04766
437	10644.14321
438	10629.38708
439	10606.62066
440	10591.30256
441	10568.73322
442	10544.1582
443	10525.12981
444	10503.9541
445	10479.02437
446	10461.25868
447	10449.43337
448	10440.1364
449	10428.23106
450	10423.16703
451	10407.94733
452	10390.19628
453	10376.22227
454	10361.27614
455	10342.65284
456	10321.20157
457	10301.66094
458	10276.19159
459	10261.82778
460	10248.53719
461	10231.65444
462	10217.80033
463	10214.93595
464	10204.41243
465	10191.5308
466	10176.68598
467	10161.55343
468	10142.56964
469	10126.33052
470	10114.8114
471	10094.23284
472	10076.57797
473	10060.26608
474	10036.91609
475	10021.34133
476	10003.51854
477	9988.788193
478	9966.685099
479	9956.683486
480	9952.104955
481	9934.443306
482	9923.428797
483	9906.861651
484	9890.725345
485	9879.607683
486	9871.477579
487	9854.873892
488	9835.183405
489	9810.742914
490	9786.538106
491	9778.683882
492	9777.326032
493	9776.018569
494	9762.759755
495	9742.675377
496	9727.604228
497	9714.280477
498	9703.835961
499	9688.743575
500	9687.463554
501	9674.380158
502	9655.712789
503	9653.099989
504	9637.825785
505	9629.474837
506	9624.686318
507	9617.996585
508	9600.872186
509	9585.215952
510	9582.709061
511	9565.877755
512	9559.162433
513	9547.045664
514	9532.280601
515	9512.000473
516	9510.17273
517	9497.666421
518	9493.173229
519	9490.726849
520	9476.32973
521	9471.180639
522	9464.032882
523	9450.307724
524	9445.222732
525	9425.170915
526	9421.018149
527	9418.233053
528	9404.74314
529	9391.413968
530	9374.739883
531	9360.93274
532	9353.627979
533	9333.075613
534	9325.802306
535	9324.908402
536	9313.042815
537	9305.12679
538	9291.08837
539	9275.883043
540	9261.473498
541	9245.600261
542	9233.624922
543	9232.723965
544	9230.80761
545	9218.118775
546	9205.496322
547	9188.885211
548	9168.501429
549	9159.828838
550	9150.17504
551	9132.546311
552	9116.66382
553	9106.101008
554	9096.928202
555	9080.295684
556	9066.005849
557	9045.707518
558	9031.739475
559	9021.277636
560	9003.6731
561	8996.6192
562	8989.660658
563	8976.419554
564	8966.460424
565	8965.694912
566	8954.631981
567	8948.800854
568	8947.741052
569	8931.671952
570	8920.52199
571	8913.719107
572	8897.920622
573	8888.937316
574	8878.166727
575	8864.987203
576	8858.739601
577	8857.403124
578	8841.804431
579	8834.106849
580	8832.351395
581	8820.990926
582	8805.620058
583	8799.247938
584	8783.229151
585	8772.125235
586	8767.651979
587	8757.161929
588	8744.637013
589	8732.301593
590	8724.413281
591	8718.608697
592	8701.849595
593	8686.736768
594	8674.951247
595	8661.11628
596	8650.837244
597	8634.786833
598	8616.332418
599	8605.111949
600	8592.304328
601	8590.523773
602	8581.670964
603	8571.849565
604	8560.207061
605	8553.639004
606	8541.693124
607	8532.830056
608	8523.709756
609	8512.328913
610	8503.908811
611	8490.965978
612	8476.160359
613	8459.310941
614	8450.245219
615	8439.113231
616	8417.813691
617	8401.276149
618	8385.641163
619	8375.557701
620	8369.619508
621	8358.81934
622	8344.303791
623	8335.525629
624	8332.022922
625	8315.234075
626	8302.96153
627	8287.526914
628	8286.851102
629	8277.477846
630	8268.06803
631	8259.100518
632	8251.516629
633	8243.440058
634	8235.117419
635	8229.990119
636	8227.474744
637	8223.978947
638	8214.77169
639	8194.21534
640	8182.750606
641	8169.057974
642	8157.132543
643	8148.666604
644	8142.041713
645	8133.19615
646	8122.687169
647	8120.150354
648	8101.661922
649	8100.622584
650	8096.607531
651	8087.003542
652	8078.62223
653	8071.674939
654	8058.868886
655	8038.682615
656	8031.104804
657	8027.772682
658	8013.033404
659	8000.615251
660	7995.159
661	7980.744722
662	7979.984348
663	7970.70574
664	7962.908794
665	7955.336775
666	7954.590068
667	7948.155557
668	7940.45504
669	7930.817313
670	7921.656334
671	7918.61729
672	7904.8953
673	7902.457884
674	7888.830474
675	7880.965517
676	7879.831179
677	7879.107989
678	7878.416998
679	7861.344881
680	7848.71944
681	7847.804273
682	7847.179319
683	7836.85367
684	7825.858392
685	7814.044804
686	7809.104055
687	7803.952175
688	7791.940217
689	7779.113495
690	7778.429957
691	7770.563717
692	7753.715132
693	7753.095715
694	7752.51366
695	7740.064211
696	7727.49556
697	7713.141038
698	7700.072929
699	7691.202496
700	7679.099396
701	7667.094316
702	7664.645633
703	7656.94982
704	7652.68414
705	7638.041595
706	7621.507852
707	7614.330746
708	7603.470484
709	7587.176071
710	7578.679284
711	7566.346812
712	7557.307142
713	7539.280641
714	7534.657718
715	7527.462208
716	7526.692338
717	7515.107903
718	7514.269318
719	7504.917491
720	7493.053056
721	7485.550261
722	7479.607966
723	7475.377049
724	7464.719708
725	7456.165819
726	7455.267397
727	7450.834717
728	7438.40772
729	7427.360817
730	7414.301459
731	7400.680083
732	7393.586434
733	7383.463702
734	7376.300793
735	7365.943266
736	7365.507356
737	7353.529777
738	7349.730608
739	7338.958744
740	7329.794491
741	7316.466899
742	7311.400739
743	7308.101429
744	7306.377473
745	7304.127617
746	7299.517703
747	7292.87068
748	7281.049214
749	7276.405058
750	7269.945187
751	7255.298592
752	7244.374111
753	7229.947722
754	7222.589893
755	7212.10285
756	7198.960612
757	7192.958613
758	7185.403371
759	7181.25273
760	7175.411546
761	7165.078801
762	7164.369123
763	7152.687164
764	7141.09287
765	7138.424494
766	7126.162299
767	7116.908721
768	7112.030863
769	7103.686517
770	7091.813078
771	7088.555979
772	7082.912672
773	7080.245454
774	7074.752881
775	7067.556626
776	7050.024203
777	7038.683607
778	7038.195137
779	7027.726719
780	7026.355533
781	7023.481359
782	7015.884221
783	7006.937747
784	7003.610629
785	6997.216719
786	6996.414419
787	6992.331399
788	6987.339172
789	6981.382607
790	6974.472633
791	6963.426131
792	6957.532054
793	6945.531313
794	6935.496327
795	6928.674645
796	6919.835041
797	6912.604276
798	6900.999829
799	6899.742619
800	6885.685085
801	6876.130064
802	6872.430137
803	6861.596107
804	6848.23714
805	6836.908958
806	6829.010796
807	6819.236858
808	6807.038814
809	6798.160866
810	6795.332423
811	6793.706033
812	6785.484685
813	6777.008046
814	6770.414066
815	6765.436985
816	6764.651701
817	6752.852828
818	6750.541078
819	6738.550639
820	6728.667739
821	6725.372574
822	6719.444549
823	6710.645112
824	6699.762217
825	6694.527711
826	6684.671522
827	6683.728078
828	6682.955427
829	6672.872888
830	6663.895329
831	6656.215191
832	6651.045229
833	6645.124304
834	6633.466553
835	6623.140434
836	6616.790679
837	6608.612075
838	6599.931243
839	6589.16103
840	6581.698511
841	6570.390943
842	6561.789287
843	6555.222705
844	6548.989637
845	6540.050411
846	6530.860902
847	6524.645717
848	6507.323275
849	6505.070717
850	6503.312701
851	6500.356923
852	6492.176548
853	6490.130459
854	6478.175469
855	6464.566193
856	6459.66626
857	6450.412107
858	6441.382244
859	6438.228123
860	6431.636097
861	6417.743082
862	6412.934881
863	6398.257989
864	6393.026404
865	6392.297034
866	6390.638013
867	6383.536323
868	6377.638665
869	6369.175332
870	6359.742228
871	6349.518762
872	6344.809243
873	6334.759424
874	6323.259998
875	6313.075193
876	6308.448853
877	6300.335343
878	6293.028742
879	6281.138074
880	6276.016991
881	6267.051119
882	6257.993728
883	6248.592728
884	6247.830861
885	6236.014199
886	6224.336358
887	6221.669991
888	6209.177489
889	6198.222629
890	6191.688694
891	6185.214374
892	6179.541146
893	6169.239418
894	6167.773772
895	6158.498355
896	6148.690371
897	6140.388281
898	6130.370678
899	6123.156953
900	6111.946517
901	6105.017095
902	6099.168365
903	6091.507695
904	6083.697887
905	6074.716523
906	6070.416921
907	6060.372586
908	6055.988551
909	6045.419157
910	6039.904792
911	6035.428063
912	6027.140026
913	6025.185706
914	6019.448554
915	6016.844735
916	6005.793601
917	5998.850546
918	5997.698042
919	5994.954606
920	5992.794087
921	5981.735451
922	5976.370028
923	5968.830097
924	5958.680655
925	5948.773472
926	5942.858016
927	5935.950319
928	5926.716398
929	5920.351273
930	5916.926938
931	5912.399778
932	5905.648001
933	5898.47788
934	5894.613207
935	5886.671235
936	5876.491006
937	5871.510903
938	5866.371201
939	5859.671151
940	5857.541673
941	5852.62497
942	5845.101857
943	5837.927729
944	5830.673309
945	5821.282625
946	5819.124138
947	5813.973065
948	5807.193037
949	5797.839953
950	5795.038001
951	5790.102485
952	5781.494388
953	5773.041741
954	5768.356673
955	5767.061272
956	5761.34991
957	5753.775708
958	5749.699967
959	5745.039067
960	5736.912142
961	5730.340722
962	5722.69397
963	5716.548681
964	5712.097233
965	5705.967385
966	5699.351524
967	5695.858227
968	5691.086564
969	5684.915981
970	5675.968108
971	5673.892772
972	5670.63092
973	5663.416881
974	5653.429348
975	5646.91355
976	5640.802625
977	5636.091195
978	5626.691297
979	5620.386167
980	5614.460793
981	5608.863565
982	5599.171609
983	5589.056482
984	5581.085272
985	5579.381533
986	5570.186775
987	5565.280595
988	5561.371292
989	5558.473829
990	5551.470678
991	5550.832233
992	5540.069147
993	5536.484753
994	5528.224747
995	5523.995529
996	5517.712664
997	5514.458151
998	5510.036336
999	5507.705082
